Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure,Long Statement,The length of the statement "doThrow(new RuntimeException("Transaction not found")).when(transactionService).updateTransactionStatus(anyLong()`anyString());" is 127.,47
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure,Long Statement,The length of the statement "assertEquals("Error updating transaction: Transaction not found"`((MessageResponse)responseEntity.getBody()).getDescription());" is 127.,47
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure_TransactionNotFound,Long Statement,The length of the statement "doThrow(new RuntimeException("Transaction not found")).when(transactionService).updateTransactionStatus(anyLong()`anyString());" is 127.,76
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_Failure_TransactionNotFound,Long Statement,The length of the statement "assertEquals("Error updating transaction: Transaction not found"`((MessageResponse)responseEntity.getBody()).getDescription());" is 127.,76
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,testUpdateTransactionStatus_InvalidStatus,Long Statement,The length of the statement "assertEquals("Error updating transaction: Invalid status provided."`((MessageResponse)responseEntity.getBody()).getDescription());" is 130.,96
.,com.Group11.soulfulplates.controllers,UserControllerTest,testUpdateAddressForUser_UserAndAddressExist_AddressUpdatedSuccessfully,Long Statement,The length of the statement "ResponseEntity<MessageResponse> responseEntity=userController.updateAddressForUser(userId`addressId`updatedAddressDetails);" is 123.,183
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 10.0,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 40.7128,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 74.0060,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 40.7129,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 40.7127,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 74.0061,223
.,com.Group11.soulfulplates.controllers,UserControllerTest,testGetUserAndNearestStore_AddressExists_NearestStoreFound,Magic Number,The method contains a magic number: 74.0059,223
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,handleTypeMismatchException,Magic Number,The method contains a magic number: 400,27
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,handleHttpRequestMethodNotSupportedException,Magic Number,The method contains a magic number: 405,58
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,handleDataIntegrityViolationException,Long Statement,The length of the statement "assertEquals("Data integrity violation - possibly duplicate entries or foreign key constraint failure."`responseBody.get("description"));" is 137.,72
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,handleDataIntegrityViolationException,Magic Number,The method contains a magic number: 400,72
.,com.Group11.soulfulplates.models,CartItem,toString,Long Statement,The length of the statement "return "CartItem{" + "cartItemId=" + cartItemId + "` menuItemId="+ itemId+ "` itemName='"+ name+ '\''+ "` quantity="+ quantity+ "` price="+ price+ '}';" is 151.,77
.,com.Group11.soulfulplates.models,Order,toString,Long Statement,The length of the statement "return "Order{" + "orderId=" + orderId + "` user="+ (user != null ? user.getId() : "null")+ "` store="+ (store != null ? store.getStoreId() : "null")+ "` instructions='"+ instructions+ '\''+ "` status='"+ status+ '\''+ "` createdAt="+ createdAt+ "` updatedAt="+ updatedAt+ "` rating="+ (rating != null ? rating.getRatingId() : "null")+ '}';" is 340.,122
.,com.Group11.soulfulplates.models,Payment,toString,Long Statement,The length of the statement "return "Payment{" + "paymentId=" + paymentId + "` transaction="+ transaction+ "` order="+ order+ "` amount="+ amount+ "` status='"+ status+ '\''+ "` store="+ store+ "` createdAt="+ createdAt+ "` updatedAt="+ updatedAt+ '}';" is 223.,115
.,com.Group11.soulfulplates.models,Rating,toString,Long Statement,The length of the statement "return "Rating{" + "ratingId=" + ratingId + "` rating="+ rating+ "` feedback='"+ feedback+ '\''+ "` store="+ (store != null ? store.toString() : "null")+ "` createdAt="+ createdAt+ "` updatedAt="+ updatedAt+ '}';" is 212.,95
.,com.Group11.soulfulplates.models,Store,toString,Long Statement,The length of the statement "return "Store{" + "id=" + storeId + "` name='"+ storeName+ '\''+ "` description='"+ storeDescription+ '\''+ "` email='"+ storeEmail+ '\''+ "` storeContactNumber='"+ storeContactNumber+ '\''+ '}';" is 195.,100
.,com.Group11.soulfulplates.models,Transaction,toString,Long Statement,The length of the statement "return "Transaction{" + "transactionId=" + transactionId + "` user="+ user.getId()+ "` cardNumber='"+ cardNumber+ '\''+ "` cardExpiry="+ cardExpiry+ "` cvv='"+ cvv+ '\''+ "` status='"+ status+ '\''+ "` createdAt='"+ createdAt+ '\''+ "` updatedAt='"+ updatedAt+ '\''+ '}';" is 271.,110
.,com.Group11.soulfulplates.models,User,User,Long Parameter List,The method has 5 parameters. ,75
.,com.Group11.soulfulplates.payload.request,SubcategoryRequestTest,testSetterMethodsUpdateFieldsCorrectly,Magic Number,The method contains a magic number: 5L,18
.,com.Group11.soulfulplates.payload.response,JwtResponse,JwtResponse,Long Parameter List,The method has 8 parameters. ,25
.,com.Group11.soulfulplates.payload.response,JwtResponse,JwtResponse,Long Parameter List,The method has 12 parameters. ,37
.,com.Group11.soulfulplates.payload.response,OtpResponse,OtpCode,Magic Number,The method contains a magic number: 1000,10
.,com.Group11.soulfulplates.payload.response,OtpResponse,OtpCode,Magic Number,The method contains a magic number: 9000,10
.,com.Group11.soulfulplates.payload.response,PaymentFilterResponse,PaymentFilterResponse,Long Parameter List,The method has 13 parameters. ,27
.,com.Group11.soulfulplates.payload.response,JwtResponseTest,testJwtResponseConstructorWithSeller,Long Statement,The length of the statement "JwtResponse jwtResponse=new JwtResponse(accessToken`id`username`email`roles`contactNumber`firstname`notificationFlag`sellerId`sellerName`sellerEmail`sellerContactNumber);" is 170.,41
.,com.Group11.soulfulplates.payload.response,JwtResponseTest,testJwtResponseConstructorWithSeller,Magic Number,The method contains a magic number: 2L,41
.,com.Group11.soulfulplates.payload.response,MenuItemResponseTest,testMenuItemResponse,Magic Number,The method contains a magic number: 2,9
.,com.Group11.soulfulplates.payload.response,MenuItemResponseTest,testMenuItemResponse,Magic Number,The method contains a magic number: 101L,9
.,com.Group11.soulfulplates.payload.response,MenuItemResponseTest,testMenuItemResponse,Magic Number,The method contains a magic number: 201L,9
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,testOrderDetailsResponse,Magic Number,The method contains a magic number: 200,14
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 101L,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 201L,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 4,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 50.99,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 201L,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 301L,27
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,createOrderDetails,Magic Number,The method contains a magic number: 401L,27
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 200,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 100L,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 10L,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 4,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 50.0,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testConstructorAndGetters,Magic Number,The method contains a magic number: 10L,25
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,testSetters,Magic Number,The method contains a magic number: 404,79
.,com.Group11.soulfulplates.security.jwt,AuthEntryPointJwt,commence,Magic Number,The method contains a magic number: 3,27
.,com.Group11.soulfulplates.security.jwt,AuthTokenFilter,doFilterInternal,Long Statement,The length of the statement "UsernamePasswordAuthenticationToken authentication=new UsernamePasswordAuthenticationToken(userDetails`null`userDetails.getAuthorities());" is 138.,29
.,com.Group11.soulfulplates.security.jwt,AuthTokenFilter,parseJwt,Magic Number,The method contains a magic number: 7,54
.,com.Group11.soulfulplates.security.jwt,JwtUtils,generateJwtToken,Long Statement,The length of the statement "return Jwts.builder().setSubject(userPrincipal.getUsername()).setIssuedAt(new Date()).setExpiration(new Date(System.currentTimeMillis() + jwtExpirationMs)).signWith(key()`SignatureAlgorithm.HS256).compact();" is 207.,27
.,com.Group11.soulfulplates.security.jwt,AuthEntryPointJwtTest,testCommence,Long Statement,The length of the statement "assertEquals("{\"code\":-3`\"description\":\"Full authentication is required to access this resource\"`\"data\":{\"path\":\"/test\"`\"error\":\"Unauthorized\"`\"status\":401}}"`jsonResponse);" is 191.,45
.,com.Group11.soulfulplates.security.jwt,AuthEntryPointJwtTest,testCommence,Magic Number,The method contains a magic number: 3,45
.,com.Group11.soulfulplates.security.services,UserDetailsImpl,UserDetailsImpl,Long Parameter List,The method has 8 parameters. ,31
.,com.Group11.soulfulplates.security.services,UserDetailsImpl,build,Long Statement,The length of the statement "List<GrantedAuthority> authorities=user.getRoles().stream().map(role -> new SimpleGrantedAuthority(role.getName().name())).collect(Collectors.toList());" is 152.,43
.,com.Group11.soulfulplates.security.services,UserDetailsImpl,build,Long Statement,The length of the statement "return new UserDetailsImpl(user.getId()`user.getUsername()`user.getEmail()`user.getContactNumber()`user.getFirstname()`true`user.getPassword()`authorities);" is 156.,43
.,com.Group11.soulfulplates.security,WebSecurityConfig,filterChain,Long Statement,The length of the statement "http.csrf(csrf -> csrf.disable()).exceptionHandling(exception -> exception.authenticationEntryPoint(unauthorizedHandler)).sessionManagement(session -> session.sessionCreationPolicy(SessionCreationPolicy.STATELESS)).authorizeHttpRequests(auth -> auth.requestMatchers("/public/uploads/**").permitAll().requestMatchers("/api/auth/**").permitAll().requestMatchers("/api/**").permitAll().requestMatchers("/api/test/**").permitAll().requestMatchers("/api/cart/**").permitAll().anyRequest().authenticated());" is 501.,56
.,com.Group11.soulfulplates.services.impl,CategoryServiceImpl,findById,Long Statement,The length of the statement "Category category=categoryRepository.findById(categoryId).orElseThrow(() -> new EntityNotFoundException("Category not found with id: " + categoryId));" is 150.,22
