Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.exception.GlobalExceptionHandler
.,com.Group11.soulfulplates.payload.request,CreateOrderRequest.SelectedItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.request,SubcategoryRequestTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.payload.request.SubcategoryRequest
.,com.Group11.soulfulplates.payload.response,CreateOrderResponse.Data,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.OrderDetails,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.MenuItemDTO,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.response,OrdersResponse.OrderData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.response,OrdersResponse.ItemData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.Group11.soulfulplates.payload.response,OrderDetailsResponseTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.payload.response.OrderDetailsResponse
.,com.Group11.soulfulplates.payload.response,OrdersResponseTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.payload.response.OrdersResponse
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.models.CartItem; com.Group11.soulfulplates.models.Order
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,Law of Demeter violation,The tool detected the smell in this method (mapOrderToOrderDetailsData) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Store.getStoreId; com.Group11.soulfulplates.models.Order.getStore
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,Law of Demeter violation,The tool detected the smell in this method (mapOrderToOrderDetailsData) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Order.getRating; com.Group11.soulfulplates.models.Rating.getRating
.,com.Group11.soulfulplates.services.impl,OrderServiceImpl,Law of Demeter violation,The tool detected the smell in this method (mapOrderToOrderDetailsData) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Order.getRating; com.Group11.soulfulplates.models.Rating.getFeedback
