Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,com.Group11.soulfulplates.controllers,TransactionControllerTest,2,0,5,5,43,5,0,0,0.0,0,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\test\java\com\Group11\soulfulplates\controllers\TransactionControllerTest.java,20
.,com.Group11.soulfulplates.controllers,UserControllerTest,6,0,8,0,171,8,0,0,0.25,0,7,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\test\java\com\Group11\soulfulplates\controllers\UserControllerTest.java,28
.,com.Group11.soulfulplates.controllers,WishlistControllerTest,3,0,7,0,59,7,0,0,0.0,0,4,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\test\java\com\Group11\soulfulplates\controllers\WishlistControllerTest.java,22
.,com.Group11.soulfulplates.exception,GlobalExceptionHandler,0,0,4,4,30,4,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\exception\GlobalExceptionHandler.java,15
.,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,1,0,5,0,44,5,0,0,0.4,0,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\test\java\com\Group11\soulfulplates\exception\GlobalExceptionHandlerTest.java,18
.,com.Group11.soulfulplates,Group11SoulfulPlates,1,0,4,3,20,5,0,0,0.5,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\Group11SoulfulPlates.java,9
.,com.Group11.soulfulplates,Group11SoulfulPlates,0,0,1,1,4,1,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\test\java\com\Group11\soulfulplates\Group11SoulfulPlates.java,6
.,com.Group11.soulfulplates.models,Address,10,0,0,0,12,0,0,0,-1.0,5,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Address.java,7
.,com.Group11.soulfulplates.models,CartItem,6,0,13,13,47,13,0,0,0.15384615384615385,2,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\CartItem.java,10
.,com.Group11.soulfulplates.models,Category,3,0,0,0,5,0,0,0,-1.0,7,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\.\src\main\java\com\Group11\soulfulplates\models\Category.java,9
